ID,x,y,說明
1509,120.955196,24.84209,a
1510,121.0098,24.820834,b
1511,121.005003,24.838736,a
1512,121.014363,24.838129,b
1513,121.01577,24.836998,a
1514,121.011347,24.835875,b
1515,121.026487,24.834006,a
1516,121.015558,24.837791,b
1517,121.017815,24.833736,a
1518,121.015558,24.837791,b
1519,121.015261,24.837525,a
1520,121.010306,24.836845,b
1521,121.015261,24.837525,a
1522,121.01966,24.835861,b
1523,121.005003,24.838736,a
1524,121.01577,24.836998,b
1525,121.012957,24.838385,a
1526,121.01966,24.835861,b
1527,121.004776,24.836744,a
1528,121.012591,24.83676,b
1529,121.007673,24.834636,a
1530,121.012461,24.838058,b
1531,121.012771,24.838632,a
1532,121.01966,24.835861,b
1533,121.0125,24.838594,a
1534,121.003334,24.839814,b
1535,121.011807,24.838561,a
1536,121.011328,24.833678,b
1537,121.01966,24.835861,a
1538,121.014363,24.838129,b
1539,121.010808,24.838394,a
1540,121.010805,24.838432,b
1541,121.010306,24.836845,a
1542,121.010268,24.838367,b
1543,121.015381,24.82608,a
1544,121.010531,24.83805,b
1545,121.01577,24.836998,a
1546,121.016064,24.834113,b
1547,121.015668,24.837589,a
1548,121.050932,24.803045,b
1549,121.013374,24.832427,a
1550,121.019978,24.829536,b
1551,121.013374,24.832427,a
1552,121.015668,24.837589,b
1553,121.017815,24.833736,a
1554,121.012591,24.83676,b
1555,121.010306,24.836845,a
1556,121.012273,24.837723,b
1557,121.018103,24.835895,a
1558,121.014422,24.832238,b
1559,121.011592,24.837495,a
1560,121.012591,24.83676,b
1561,121.011855,24.83698,a
1562,121.016217,24.829576,b
1563,121.019813,24.83575,a
1564,121.016077,24.833953,b
1565,121.089231,24.733489,a
1566,121.018996,24.840974,b
1567,121.025752,24.823676,a
1568,121.01879,24.833166,b
1569,121.018996,24.840974,a
1570,121.026487,24.834006,b
1571,121.013297,24.822003,a
1572,121.096793,24.727496,b
1573,121.01577,24.836998,a
1574,121.024959,24.832287,b
1575,121.016593,24.83019,a
1576,121.015381,24.82608,b
1577,121.015381,24.82608,a
1578,121.018996,24.840974,b
1579,121.024959,24.832287,a
1580,120.999391,24.837008,b
1581,120.951942,24.86296,a
1582,121.007902,24.837792,b
1583,121.000357,24.831219,a
1584,121.019276,24.835211,b
1585,120.999391,24.837008,a
1586,121.013297,24.822003,b
1587,121.013484,24.820976,a
1588,120.999217,24.831328,b
1589,121.015668,24.837589,a
1590,120.961143,24.861973,b
1591,120.960016,24.865771,a
1592,120.983584,24.853502,b
1593,120.961143,24.861973,a
1594,120.969519,24.868985,b
1595,120.951342,24.86195,a
1596,121.027828,24.813884,b
1597,121.0304,24.817439,a
1598,121.022585,24.811634,b
1599,121.027364,24.810647,a
1600,121.037601,24.806915,b
1601,121.0334,24.807849,a
1602,121.024769,24.811926,b
1603,121.026943,24.811667,a
1604,121.026943,24.811667,b
1605,121.028411,24.809846,a
1606,121.027721,24.819589,b
1607,121.008579,24.836105,a
1608,121.026419,24.816395,b
1609,121.025752,24.823676,a
1610,121.02398,24.812601,b
1611,121.027267,24.809183,a
1612,121.013297,24.822003,b
1613,121.018801,24.819239,a
1614,121.022585,24.811634,b
1615,121.024166,24.813251,a
1616,121.022585,24.811634,b
1617,121.02398,24.812601,a
1618,121.012496,24.830096,b
1619,121.0334,24.807849,a
1620,121.027364,24.810647,b
1621,121.014583,24.82508,a
1622,121.029013,24.819708,b
1623,120.996848,24.82571,a
1624,120.996848,24.82571,b
1625,121.027828,24.813884,a
1626,121.016593,24.83019,b
1627,121.082421,24.748457,a
1628,121.027721,24.819589,b
1629,121.022585,24.811634,a
1630,121.013297,24.822003,b
1631,121.015381,24.82608,a
1632,121.037193,24.807379,b
1633,121.024113,24.821588,a
1634,121.030232,24.809168,b
1635,121.021992,24.819575,a
1636,121.022585,24.811634,b
1637,121.0334,24.807849,a
1638,121.015381,24.82608,b
1639,121.015381,24.82608,a
1640,121.03207,24.806204,b
1641,121.022585,24.811634,a
1642,121.022585,24.811634,b
1643,121.018801,24.819239,a
1644,121.047446,24.807211,b
1645,121.015381,24.82608,a
1646,121.025752,24.823676,b
1647,121.013297,24.822003,a
1648,121.013484,24.820976,b
1649,121.018996,24.840974,a
1650,121.04004,24.805702,b
1651,121.02398,24.812601,a
1652,121.026292,24.816519,b
1653,121.015158,24.82845,a
1654,121.024334,24.809363,b
1655,121.027364,24.810647,a
1656,121.018801,24.819239,b
1657,121.030232,24.809168,a
1658,121.04004,24.805702,b
1659,121.038999,24.810532,a
1660,121.038844,24.810594,b
1661,121.014479,24.824446,a
1662,121.033003,24.808507,b
1663,121.030232,24.809168,a
1664,121.036746,24.804523,b
1665,121.018801,24.819239,a
1666,121.018801,24.819239,b
1667,121.02796,24.819125,a
1668,121.025705,24.809451,b
1669,121.013297,24.822003,a
1670,121.02398,24.812601,b
1671,121.024334,24.809363,a
1672,121.024334,24.809363,b
1673,121.027828,24.813884,a
1674,121.013752,24.820209,b
1675,121.030232,24.809168,a
1676,121.013752,24.820209,b
1677,121.024334,24.809363,a
1678,121.028956,24.819032,b
1679,121.030232,24.809168,a
1680,121.025752,24.823676,b
1681,121.03291,24.802514,a
1682,121.094279,24.725336,b
1683,121.08285,24.744221,a
1684,121.024334,24.809363,b
1685,121.022585,24.811634,a
1686,121.026943,24.811667,b
1687,121.027828,24.813884,a
1688,121.026487,24.834006,b
1689,121.028956,24.819032,a
1690,121.022659,24.809391,b
1691,121.024166,24.813251,a
1692,121.044805,24.765183,b
